         506395 function calls (469475 primitive calls) in 384.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.012    0.000    0.012    0.000 C:\Users\patri\AppData\Roaming\Python\Python312\site-packages\numpy\_core\shape_base.py:219(vstack)
     7308    0.002    0.000    0.012    0.000 {method 'max' of 'numpy.ndarray' objects}
      111    0.011    0.000    0.011    0.000 {built-in method _io.open}
     7308    0.001    0.000    0.011    0.000 C:\Users\patri\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:46(_amin)
    72872    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
     7308    0.001    0.000    0.010    0.000 C:\Users\patri\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:42(_amax)
    17041    0.007    0.000    0.009    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\json\encoder.py:334(_iterencode_dict)
      9/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
      9/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      9/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
      7/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:989(exec_module)
    20607    0.006    0.000    0.007    0.000 {built-in method builtins.hasattr}
       11    0.000    0.000    0.006    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\VideoFileClip.py:123(close)
    17082    0.003    0.000    0.006    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\encodings\cp1252.py:18(encode)
     2270    0.001    0.000    0.005    0.000 C:\Users\patri\AppData\Roaming\Python\Python312\site-packages\numpy\_core\fromnumeric.py:3360(round)
     21/8    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      8/4    0.001    0.000    0.005    0.001 {built-in method builtins.exec}
     2539    0.005    0.000    0.005    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_reader.py:107(skip_frames)
       46    0.003    0.000    0.005    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:576(list2cmdline)
       33    0.002    0.000    0.004    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_reader.py:188(close)
        2    0.000    0.000    0.004    0.002 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\ffmpeg_audiowriter.py:119(close)
     2259    0.001    0.000    0.004    0.000 {method 'any' of 'numpy.ndarray' objects}
     2270    0.001    0.000    0.004    0.000 C:\Users\patri\AppData\Roaming\Python\Python312\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
        3    0.000    0.000    0.004    0.001 {built-in method _warnings.warn}
       25    0.000    0.000    0.004    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\queues.py:374(empty)
    10538    0.004    0.000    0.004    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.004    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_writer.py:68(__init__)
        3    0.000    0.000    0.004    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\warnings.py:99(_showwarnmsg)
      110    0.001    0.000    0.004    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\re\__init__.py:280(_compile)
        3    0.000    0.000    0.004    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\logging\__init__.py:2311(_showwarning)
       46    0.001    0.000    0.004    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:1335(_get_handles)
       34    0.003    0.000    0.003    0.000 {built-in method _winapi.TerminateProcess}
     2259    0.001    0.000    0.003    0.000 C:\Users\patri\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:58(_any)
       12    0.000    0.000    0.003    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\process.py:128(terminate)
       12    0.000    0.000    0.003    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\popen_spawn_win32.py:124(terminate)
       50    0.001    0.000    0.003    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:973(start)
        1    0.000    0.000    0.003    0.003 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\ffmpeg_audiowriter.py:37(__init__)
      481    0.003    0.000    0.003    0.000 {built-in method builtins.sum}
